Country,,2005,2006,2007,2008r,2009r,2010r,2011r,2012r,2013r,id,lat,lon,2004
Mexico,,"20,325","19,659","19,446","20,360","20,162","20,682","20,590","20,308","20,851",484,24,-103,"19,370"
Canada,,"14,390","13,856","13,375","12,504","11,709","11,871","11,597","11,887","12,008",124,56,-106,"15,088"
Austria,,461,**,406,431,394,428,378,456,435,40,47.516231,14.550072,410
Czech Republic,,317,**,375,339,333,**,**,**,**,203,49.817492,15.472962,356
France,,"2,217","2,231","2,217","2,124","1,909","1,739","1,756","2,024","2,002",250,46,2,"2,407"
Germany,,"1,670","1,688","1,936","1,601","1,545","1,739","1,594","1,710","1,741",276,51,10,"1,750"
Greece,,489,482,562,493,606,371,351,399,377,300,39,22,438
Ireland,,691,844,749,677,576,627,540,684,725,372,53,-8,738
Italy,,"2,044","2,201","2,373","1,940","1,848","1,739","1,702","1,938","1,799",380,42,13,"1,915"
Netherlands,,864,904,937,893,727,684,649,656,638,528,52,5,930
Poland,,259,**,**,246,242,171,216,171,203,616,52,19,246
Russia,,345,**,312,308,273,257,216,285,**,643,62,105,301
Spain,,979,995,"1,093","1,139","1,151",969,"1,081","1,140","1,045",724,40,-4,903
Switzerland,,518,633,656,647,485,513,567,570,493,756,47,8,520
U.K.,,"3,829","3,286","3,123","2,894","2,727","2,366","2,405","2,537","2,640",826,55,-3,"3,692"
Ukraine,,"5,182","6,150","5,184","5,973","5,696","6,186","6,134","6,698","7,196",804,48,31,"4,868"
Aruba,,345,422,**,**,424,542,649,**,**,533,13,-70,438
Cayman Is.,,na,**,**,**,303,**,324,**,**,136,38,-122,164
Dominican Rep,,"1,439",**,**,**,"1,454","1,796",**,"2,252",**,214,20,-71,957
Jamaica,,"1,353","1,688","1,530","1,447","1,424","1,482","1,486","1,511","1,799",388,18,-77,"1,258"
Argentina,,na,**,**,**,**,371,297,257,**,32,-38,-64,na
Brazil,,605,**,687,**,667,513,378,399,406,76,-14,-52,602
Colombia,,432,**,562,677,545,513,432,513,**,170,5,-74,438
Peru,,na,**,**,**,**,428,351,371,464,604,-9,-75,na
Costa Rica,,"1,756","1,538","2,248","2,001","2,060","1,910","1,946","2,081","2,002",188,10,-84,"1,778"
Morocco,,58,**,**,62,121,**,135,**,**,504,32,-7,82
S. Africa,,144,**,219,**,273,285,216,228,232,710,-31,23,246
Egypt,,173,**,156,277,273,257,**,**,**,818,27,31,164
Israel,,144,**,500,616,667,684,649,627,638,376,31,35,137
Jordan,,na,**,**,**,**,143,**,**,**,400,31,36,na
Turkey,,288,**,250,369,394,314,378,399,348,792,39,35,274
United Arab Emirates,,**,**,**,**,**,**,297,285,290,784,23,54,**
Hong Kong,,921,904,968,924,788,713,676,627,551,344,22,114,738
India,,835,904,999,"1,016","1,061",770,946,941,"1,045",356,21,79,629
Indonesia,,144,**,94,**,121,**,**,**,**,360,-1,114,82
Japan,,"1,497","1,538","1,718","1,601","1,515","1,197",595,855,812,392,36,138,"1,067"
Malaysia,,115,121,125,**,667,**,**,**,**,458,4,102,109
Pakistan,,**,**,**,**,**,**,**,57,116,586,30,69,**
People's Rep. of China,,"1,295","1,327","1,374","1,201","1,182","1,254","1,108","1,140","1,132",156,36,104,"1,067"
Philippines,,288,271,312,308,394,371,513,599,580,608,13,122,438
Rep. of China (Taiwan),,662,693,687,647,576,513,513,456,435,158,24,121,629
Republic of Korea,,662,633,687,616,667,599,459,542,580,408,36,128,574
Singapore,,374,422,344,308,242,200,189,228,203,702,1,104,274
Thailand,,489,482,468,431,364,342,324,342,348,764,16,101,410
Australia,,605,603,593,585,636,485,**,**,**,36,-25,134,602
New Zealand,,317,301,281,277,333,171,**,**,**,554,-41,175,328
